method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
ADMM+cond (sky auto),-0.6632830279980036,-0.18855468610493326,-0.4259188570514685,135,129,95.55555555555556,1.7736577773894284,0.13374083262071204,0.1137994425310438,0.5143109053851035,129
ADMM+cond (sky auto),-0.18855468610493326,0.28617365578813714,0.04880948484160194,157,144,91.71974522292993,2.1993960643745094,0.22500962554888498,0.15533693865896003,0.5762234718718303,144
ADMM+cond (sky auto),0.28617365578813714,0.7609019976812076,0.5235378267346724,166,156,93.97590361445783,1.846716234605661,0.24472533220808323,0.25025392301674165,0.7152347354802585,156
ADMM+cond (sky auto),0.7609019976812076,1.235630339574278,0.9982661686277428,313,273,87.22044728434504,1.8870995578042056,0.3248195978218999,0.28218195762143145,0.8417911587602649,273
ADMM+cond (sky auto),1.235630339574278,1.7103586814673482,1.472994510520813,852,695,81.57276995305165,1.3282592112487794,0.39300194492830587,0.3684520097158684,0.9733464671201246,695
ADMM+cond (sky auto),1.7103586814673482,2.1850870233604187,1.9477228524138834,1701,1095,64.37389770723104,1.1611461893645743,0.3982055984514563,0.39179889450762345,1.009238374083778,1095
ADMM+cond (sky auto),2.1850870233604187,2.659815365253489,2.4224511943069538,1853,817,44.09066378845116,1.153394236705962,0.40378610780907803,0.3751322386563515,0.8762626443086821,817
ADMM+cond (sky auto),2.659815365253489,3.1345437071465594,2.8971795362000243,612,203,33.169934640522875,1.903191720632269,0.40243698816947143,0.3349117562616504,0.6429861196165514,203
ADMM+cond (sky const),-0.6632830279980036,-0.18855468610493326,-0.4259188570514685,135,129,95.55555555555556,1.7736577773894284,0.13374247020056734,0.11364561838760764,0.5144088361837342,129
ADMM+cond (sky const),-0.18855468610493326,0.28617365578813714,0.04880948484160194,157,144,91.71974522292993,2.1993960643745094,0.22502674242313028,0.15536552847434887,0.5762378820629002,144
ADMM+cond (sky const),0.28617365578813714,0.7609019976812076,0.5235378267346724,166,156,93.97590361445783,1.846716234605661,0.2447446139948858,0.2502546944971325,0.7152658389444861,156
ADMM+cond (sky const),0.7609019976812076,1.235630339574278,0.9982661686277428,313,273,87.22044728434504,1.8870995578042056,0.32486683571707625,0.28204139347444085,0.8417851364538012,273
ADMM+cond (sky const),1.235630339574278,1.7103586814673482,1.472994510520813,852,695,81.57276995305165,1.3282592112487794,0.39309615435091344,0.36830667387983707,0.9735192151100001,695
ADMM+cond (sky const),1.7103586814673482,2.1850870233604187,1.9477228524138834,1701,1095,64.37389770723104,1.1611461893645743,0.3983147074035486,0.3919028581198283,1.0091737888828165,1095
ADMM+cond (sky const),2.1850870233604187,2.659815365253489,2.4224511943069538,1853,817,44.09066378845116,1.153394236705962,0.40392205029455314,0.3748746024218514,0.876236246345341,817
ADMM+cond (sky const),2.659815365253489,3.1345437071465594,2.8971795362000243,612,203,33.169934640522875,1.903191720632269,0.40262031408184684,0.3351830679474901,0.6436174713491036,203
