method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
M31f11 f475w,-2.4436542879922665,-1.9689259544477276,-2.206290121219997,135,120,88.88888888888889,2.704802753111932,0.18314784699179018,0.154895556255383,0.9542661525687042,120
M31f11 f475w,-1.9689259544477276,-1.4941976209031886,-1.731561787675458,157,139,88.53503184713375,2.542694443948995,0.17850748340430872,0.171006090607509,0.8950159790299422,139
M31f11 f475w,-1.4941976209031886,-1.0194692873586497,-1.2568334541309192,166,148,89.1566265060241,2.4132647993898813,0.2276728399878767,0.20923311866362762,0.8703256338025536,148
M31f11 f475w,-1.0194692873586497,-0.5447409538141108,-0.7821051205863803,313,253,80.83067092651757,2.224945510493918,0.24149218127224392,0.2542646575550132,0.8479120310459526,253
M31f11 f475w,-0.5447409538141108,-0.07001262026957189,-0.30737678704184135,852,666,78.16901408450704,1.4152533597173094,0.32137986768083737,0.31244792712654973,0.8650608807159258,666
M31f11 f475w,-0.07001262026957189,0.404715713274967,0.16735154650269757,1701,1178,69.25338036449148,1.1188375130831454,0.41938806383405325,0.40156656133421076,0.882444896525614,1178
M31f11 f475w,0.404715713274967,0.8794440468195059,0.6420798800472365,1853,968,52.239611440906636,1.1603691795322253,0.519497167228071,0.4692612994951071,0.813622023487245,968
M31f11 f475w,0.8794440468195059,1.354172380364045,1.1168082135917756,612,228,37.254901960784316,1.9543660172454953,0.6348697157609072,0.5842008734564252,0.6192675988114403,226
