truth_x,truth_y,recon_x,recon_y,dist_px,truth_flux,recon_flux,flux_ratio
23.40,55.11,23.30,55.12,0.105,4.3215e-05,4.6778e-05,1.082
7.98,55.81,7.95,55.83,0.031,6.8899e-05,5.9302e-05,0.861
17.90,56.16,17.95,56.16,0.044,1.4889e-04,1.5597e-04,1.048
29.23,56.28,29.30,56.13,0.156,1.1450e-05,2.1463e-05,1.875
35.07,56.18,35.08,56.27,0.088,6.4273e-05,5.5888e-05,0.870
47.32,56.18,47.26,56.23,0.078,1.0157e-04,9.3981e-05,0.925
58.11,56.32,58.16,56.39,0.078,5.5311e-05,4.6217e-05,0.836
40.65,57.26,40.67,57.46,0.198,4.3825e-05,3.4044e-05,0.777
8.16,59.07,8.11,58.98,0.100,9.6990e-05,8.7207e-05,0.899
27.30,59.04,27.25,58.71,0.336,5.7525e-05,4.6761e-05,0.813
45.17,58.47,45.18,58.44,0.037,9.0979e-05,8.3757e-05,0.921
48.65,59.07,48.62,59.15,0.082,4.6555e-05,3.8539e-05,0.828
