method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
eta0 baseline,-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,129,95.55555555555556,1.7736577773894284,0.13374247071953674,0.11364570888484278,0.514408777476992,129
eta0 baseline,-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,144,91.71974522292993,2.1993960643745094,0.22502674272395734,0.15536550061250692,0.5762378708494511,144
eta0 baseline,0.2861736396029616,0.760901980557656,0.5235378100803088,166,156,93.97590361445783,1.846716234605661,0.24474461434668246,0.25025471911944513,0.7152658331963062,156
eta0 baseline,0.760901980557656,1.2356303215123503,0.9982661510350032,313,275,87.8594249201278,1.8460422605808622,0.34226483548977954,0.2830071987982695,0.8418968015411323,275
eta0 baseline,1.2356303215123503,1.7103586624670446,1.4729944919896973,852,732,85.91549295774648,1.1917544202244386,0.44805555111122913,0.3948782085671372,0.9998914504923899,732
eta0 baseline,1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1421,83.53909465020575,0.8991239874258575,0.5025220747890605,0.4652047249427668,1.1251321823891889,1421
eta0 baseline,2.185087003421739,2.659815344376433,2.422451173899086,1853,1480,79.87048030221263,0.9314770189689656,0.5672253617886196,0.4992148656343214,1.132426004509905,1479
eta0 baseline,2.659815344376433,3.1345436853311277,2.8971795148537804,612,466,76.14379084967321,1.7228293153087346,0.5979642175760432,0.5089382823364318,0.958500116464222,464
tuned eta1,-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,129,95.55555555555556,1.7736577773894284,0.1614354906931732,0.11935434417644111,0.5122146691365708,129
tuned eta1,-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,142,90.44585987261146,2.346066526667192,0.2112223943180061,0.1526839255790815,0.583445863392093,142
tuned eta1,0.2861736396029616,0.760901980557656,0.5235378100803088,166,153,92.16867469879519,2.0852362180875437,0.2274135237802892,0.21583154684233385,0.7185159279451299,153
tuned eta1,0.760901980557656,1.2356303215123503,0.9982661510350032,313,268,85.62300319488818,1.9831572299362747,0.33913599699837915,0.30404125541125543,0.8426597762279239,268
tuned eta1,1.2356303215123503,1.7103586624670446,1.4729944919896973,852,719,84.38967136150235,1.2434572920472102,0.43413714759461874,0.37481139365499627,0.9486598845028031,719
tuned eta1,1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1421,83.53909465020575,0.8991239874258575,0.49338035901441457,0.47683060559136803,1.1052459770864873,1421
tuned eta1,2.185087003421739,2.659815344376433,2.422451173899086,1853,1465,79.06098219104156,0.9451952841884079,0.5722314935232032,0.5059400520853654,1.1261411224479048,1464
tuned eta1,2.659815344376433,3.1345436853311277,2.8971795148537804,612,468,76.47058823529412,1.714656141559228,0.5934301069903658,0.5299048758922303,0.9351065082917871,467
tuned eta1+flat,-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,127,94.07407407407408,2.0321052657792213,0.16311341130294502,0.13385181656795825,0.5386019752419862,127
tuned eta1+flat,-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,141,89.80891719745223,2.4144603009800902,0.23311366579964576,0.1565562417624871,0.5969744312578603,141
tuned eta1+flat,0.2861736396029616,0.760901980557656,0.5235378100803088,166,153,92.16867469879519,2.0852362180875437,0.27010192704444747,0.2587587298345717,0.7382254895751431,153
tuned eta1+flat,0.760901980557656,1.2356303215123503,0.9982661510350032,313,275,87.8594249201278,1.8460422605808622,0.34096575945742774,0.27933777796355636,0.8316393980524119,275
tuned eta1+flat,1.2356303215123503,1.7103586624670446,1.4729944919896973,852,716,84.03755868544602,1.25477706843598,0.449503344110195,0.37047389294063765,0.9932144565502772,716
tuned eta1+flat,1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1419,83.42151675485009,0.9016942110321339,0.5187450526757009,0.47468643690699563,1.1480909033626854,1419
tuned eta1+flat,2.185087003421739,2.659815344376433,2.422451173899086,1853,1443,77.87371829465731,0.9642995518532143,0.5877740557007309,0.503262564341825,1.1524919652133718,1442
tuned eta1+flat,2.659815344376433,3.1345436853311277,2.8971795148537804,612,444,72.54901960784314,1.8039271406117803,0.6646978936952995,0.570490723475705,0.990955473882158,443
tuned + ORIG PSF,-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,127,94.07407407407408,2.0321052657792213,0.16311432204943047,0.13391072561921635,0.5386522764349122,127
tuned + ORIG PSF,-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,141,89.80891719745223,2.4144603009800902,0.23312189069911496,0.15658723675823902,0.5969800057471065,141
tuned + ORIG PSF,0.2861736396029616,0.760901980557656,0.5235378100803088,166,153,92.16867469879519,2.0852362180875437,0.2700894319696695,0.25874906681440807,0.7382378802982795,153
tuned + ORIG PSF,0.760901980557656,1.2356303215123503,0.9982661510350032,313,275,87.8594249201278,1.8460422605808622,0.3409546615861476,0.279316564445039,0.8316480967709716,275
tuned + ORIG PSF,1.2356303215123503,1.7103586624670446,1.4729944919896973,852,716,84.03755868544602,1.25477706843598,0.4494787145079699,0.37067053282261986,0.9930526771345096,716
tuned + ORIG PSF,1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1419,83.42151675485009,0.9016942110321339,0.5187074464070202,0.4745812113451669,1.147989733836646,1419
tuned + ORIG PSF,2.185087003421739,2.659815344376433,2.422451173899086,1853,1443,77.87371829465731,0.9642995518532143,0.5877032708972996,0.5032503263960179,1.1524412634225336,1442
tuned + ORIG PSF,2.659815344376433,3.1345436853311277,2.8971795148537804,612,444,72.54901960784314,1.8039271406117803,0.664545639727895,0.570681638417007,0.9908686720404338,443
