index,flux_ratio,peak_ratio,rmse
0,0.5720700917881893,0.8292164488311935,0.0207735375885442
1,0.5947553300441178,0.7939580745042806,0.023442989995046373
2,0.6812065454492017,0.6874248405215263,0.02234630747854902
3,0.6475387502328521,0.8772698642526989,0.024702230645472178
4,0.6026085229399855,0.6243436454287076,0.024486305484993816
5,0.6701797395017203,0.8267375584014748,0.02929506220584883
6,0.5771408838071264,0.6677534468272144,0.028052492025325334
7,0.597604850972002,0.7115291989474363,0.020292721816464142
8,0.5725927892245791,0.9290057520228712,0.03476950725941255
9,0.6458965900043074,0.8026327381765291,0.024619446421481794
10,0.5243605076228975,0.8349364374636453,0.019889720354554215
11,0.6230661867518791,0.5004552009113535,0.037012839460767395
12,0.6118507705729282,0.5494704533239589,0.03480316793662526
13,0.6362046091728215,0.5423163917840826,0.03699923327553149
14,0.6425461881326898,0.6681189807833083,0.02605968228200125
15,0.6302747544498425,0.8057843802402139,0.020812536692876922
16,0.599114946479923,0.8076621993445399,0.026041010257247952
17,0.7047224369284258,0.5652395315149162,0.03780926847691752
18,0.580224074703569,0.376701791511818,0.03314449216909886
19,0.5598217990316604,0.9136913115118933,0.02063641396502268
20,0.5274283916346958,0.866449541968055,0.01732620028867264
21,0.5725491564421434,0.41764045755430407,0.027676600141149647
22,0.6007071201305739,0.7839531711716298,0.021805310881301086
23,0.5567334206475978,0.7017873069880752,0.02548735778362942
24,0.6225544637991276,1.0423052154714054,0.019314514031607104
25,0.6284290033450588,0.3825025094449216,0.02828604698377058
26,0.600709822344705,0.7434466193883833,0.026697166113561866
27,0.4895096890934472,0.824934579271788,0.017127076623172435
28,0.6227853251906476,0.8872946144503409,0.017580562680854905
29,0.6365340847587835,0.6166641419602594,0.027742280445634575
30,0.5935142602627699,0.8353811113675219,0.021836969679479505
31,0.6405030879472006,0.7671049168210173,0.026383535875669776
32,0.7170297326558803,0.8653199878201313,0.0324983593130665
33,0.6323420233060443,0.7140845153900236,0.02427731455367374
34,0.5415622641870287,0.8793898645625814,0.02245770364275744
35,0.5735422556949418,0.5278167238662931,0.02522764252980653
36,0.5755110653128079,0.9825268429303325,0.028795919993506534
37,0.6180896218871663,0.9088166251194146,0.03275215644047317
38,0.621531780822709,0.7346968905848438,0.02308582658444354
39,0.5441792981600628,1.0936194183594317,0.023197713576422273
40,0.5438621077059375,0.9597380251286617,0.02090659451235868
41,0.5731492518221901,1.0127459597690265,0.01875953882813308
42,0.5942824167311339,0.9924757198499996,0.02488888245166069
43,0.5753048995757849,0.7141322909899744,0.025079688027548484
44,0.6453053576227151,0.716525090208373,0.026106147860294304
45,0.6667265913354847,1.155534605887581,0.02458761049815162
46,0.6388389492810467,0.7836811687199629,0.0197908587765579
47,0.45860643078734153,1.4471402584256046,0.0156406422069824
48,0.6463972546176228,0.8870105898717117,0.02428064522995963
49,0.6336788743575912,0.6140894873152973,0.031361406079255805
50,0.5895087398882838,1.0421151435146572,0.028752952586746636
51,0.6047558470050214,0.9579848909238009,0.026549305016341975
52,0.6441352677504765,0.8416572290516666,0.02861589070187424
53,0.6876983741025726,0.8336114731850476,0.03237545978650895
54,0.6709735129203322,0.7585610495670077,0.03310729353560203
55,0.6048518015061437,0.9657074591590216,0.01854519638462977
56,0.6559985838891038,0.8014110331543018,0.023754186489699493
57,0.5923078364973132,0.8143419088762324,0.025917989157704144
58,0.6775993424205115,0.5427055329073301,0.049350244560451624
59,0.5727486514279744,0.4724614602691446,0.03002590164356721
60,0.6396388678582899,0.7365596253415627,0.022977864014988577
61,0.6410836051312013,0.7655041039370211,0.018423916400553363
62,0.5435971486381301,1.0166683793485822,0.024030779772622936
63,0.5369810083265589,0.9597314766883118,0.01949206400965774
