method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
M31f11 f814w,-5.310449618058618,-4.8357212759927615,-5.07308544702569,135,126,93.33333333333333,2.1468706290651016,0.11369046402132375,0.10232808957272395,0.654607290754492,126
M31f11 f814w,-4.8357212759927615,-4.360992933926905,-4.598357104959833,157,136,86.62420382165605,2.71662456167704,0.15431521805247148,0.1182373336218373,0.648009179937288,136
M31f11 f814w,-4.360992933926905,-3.8862645918610483,-4.1236287628939765,166,137,82.53012048192771,2.9471154586636708,0.1663262649150708,0.16901794629731556,0.728979963916923,137
M31f11 f814w,-3.8862645918610483,-3.411536249795192,-3.64890042082812,313,258,82.42811501597444,2.151169795820317,0.2219132362764648,0.23520036106691794,0.7610665232574765,258
M31f11 f814w,-3.411536249795192,-2.9368079077293356,-3.174172078762264,852,659,77.34741784037558,1.4340423255223544,0.2952765964128204,0.277255252907675,0.8302780457606782,659
M31f11 f814w,-2.9368079077293356,-2.462079565663479,-2.6994437366964075,1701,1033,60.728982951205175,1.1840823882629299,0.46889193184463784,0.3861816720182989,0.9324728768339678,1033
M31f11 f814w,-2.462079565663479,-1.9873512235976225,-2.2247153946305507,1853,743,40.09713977334053,1.1385255135590757,0.5753533183009278,0.49294401870029725,0.9244968791395145,743
M31f11 f814w,-1.9873512235976225,-1.5126228815317664,-1.7499870525646943,612,172,28.104575163398692,1.8170355675206802,0.8382287011237485,0.7499745217906407,0.8033605417554712,171
