index,flux_ratio,peak_ratio,rmse
0,6.425892174411869e-10,3.04755351739372e-12,5192614403.658384
1,7.345565411481637e-10,4.33102526235738e-12,4147317878.612984
2,4.031475983316788e-13,2.0111341082195217e-15,8312571066945.387
3,3.38614615383364e-07,1.7109870574843904e-09,10292207.414873073
4,1.4505440691964933e-10,9.266469808495902e-13,18276975521.53901
5,2.4233990573191957e-21,1.8494163281120743e-23,1.536526955105715e+21
6,2.4014988654238853e-21,1.49457969226241e-23,1.36108416255379e+21
7,1.3304258124098637e-11,7.216661221406941e-14,252387754811.93192
8,5.596840985402942e-26,4.746796337773474e-28,6.123474411113819e+25
9,1.908985527744902e-11,8.604967435265712e-14,174979110923.38052
10,0.0016495994632713768,5.509920353595419e-06,1729.4667845080937
11,1.7949837650868143e-35,1.5771451231636964e-37,1.912925245373436e+35
12,1.1945528484740958e-17,8.228400837005226e-20,2.7478878858161494e+17
13,1.1701799044207532e-39,8.142185919380697e-42,3.087848366275603e+39
14,2.7295964074650935e-07,1.6496127713588902e-09,11260937.499577168
15,1.1720806951937623e-05,5.8194998891357624e-08,233109.00194134656
16,3.3951826578016406e-19,2.2428650637890805e-21,9.59036161121373e+18
17,1.2673709554056352e-64,1.7244176730932874e-66,2.853386382757225e+64
18,2.9263571377214015e-29,2.21251888564295e-31,1.1004697816547746e+29
19,4.02188422836916e-09,2.328628247104386e-11,822501041.4183023
20,3.096652118480995e-06,1.510158240686439e-08,977589.5208831918
21,1.2396305514993834e-31,1.05970457524024e-33,2.6828735252926524e+31
22,1.3611647678093698e-10,6.420322682924929e-13,23929953897.509182
23,2.148806806189366e-15,1.1773247940241031e-17,1490108338234831.8
24,0.0003528037841546046,1.6964186676477573e-06,8343.042889303948
25,2.9197263321428394e-22,2.0549822524684924e-24,1.198177088964267e+22
26,8.093354398327767e-19,4.783297097616078e-21,4.2517776144618767e+18
27,2.0702959888973105e-05,9.885278793674413e-08,147847.38477697488
28,0.00032528500580537167,2.5690616113347913e-06,6974.686095961128
29,2.3607787259201008e-11,1.5436128460834344e-13,131564262440.63484
30,1.4799188503996719e-06,7.113036267575335e-09,1961662.0861798287
31,2.065053737056832e-09,1.1858993839164633e-11,1327957515.6403623
32,1.9887712687392077e-13,1.0429007683477761e-15,15566807470325.88
33,1.1638362492509046e-30,8.496442420972236e-33,2.536452487325023e+30
34,1.4901371706238741e-05,1.1462286003624936e-07,159620.54922221103
35,1.9616226544885964e-21,1.064729093486686e-23,1.6614829232983106e+21
36,1.167841601919889e-09,1.1011586538704774e-11,1749546032.7925203
37,9.527346215735306e-15,5.826679218154777e-17,371861765095065.2
38,1.4774448749975746e-10,9.898428494202197e-13,21993230977.6203
39,1.180270666774309e-09,7.39560747480866e-12,2563626905.173791
40,4.6279557965315324e-07,4.109219637249185e-09,4984669.568611074
41,0.002265578947825224,1.5524130541166837e-05,1089.5500282288351
42,1.7750025915634056e-06,7.68449365527842e-09,1647160.1491825462
43,2.574162597358699e-12,1.0292402271906253e-14,1312831803771.8042
44,9.760422667718779e-15,5.049509302863097e-17,342435075972458.44
45,2.717339641578149e-06,1.4304101495801924e-08,1184805.0327289018
46,1.2958212085971376e-07,7.202622396660158e-10,19881923.394451708
47,1.8361907180706014e+32,0.020028741173126918,0.6348923766777904
48,2.043008218595218e-07,1.0028244141394106e-09,14564457.551821915
49,4.8323294036201804e-29,4.117715584586632e-31,7.212823900843768e+28
50,2.791034529600686e-09,1.4001911944524834e-11,1298754754.9753854
51,8.684929181249442e-09,4.812556353983941e-11,326001325.6975922
52,1.1672978071813724e-10,5.310986519494676e-13,29189635012.661846
53,2.055845467870871e-31,1.6763871206183918e-33,1.6434263983732545e+31
54,1.6976319811906258e-16,9.1057848435004e-19,2.130588797775457e+16
55,0.0001524861528642343,7.115169216850682e-07,21260.803342531082
56,1.8682672334146573e-07,1.0920794428952707e-09,16860156.027116835
57,9.783198761545385e-17,6.581402888934735e-19,3.2509755429823828e+16
58,1.9359809086562512e-54,1.7852277318343134e-56,1.849656191299736e+54
59,6.32294761179681e-26,4.830002371521171e-28,4.897287278835867e+25
60,1.0541989098543346e-11,1.0923014606030501e-13,216068645242.00256
61,5.090786472275614e-06,2.1975984860310023e-08,635347.2231939856
62,4.952290270627099e-08,3.1151204989583276e-10,54678596.280963786
63,1.284188650094969e-05,6.561490543709519e-08,235017.29764077623
